Route,Departure,Arrival,Carrier,Code
UIO-PTY,UIO,PTY,CM,
UIO-PTY,UIO,PTY,KL,C
UIO-PTY,UIO,PTY,TK,C
VLN-PTY,VLN,PTY,CM,
VLN-PTY,VLN,PTY,T9,
VVI-PTY,VVI,PTY,CM,
VVI-PTY,VVI,PTY,UA,C
XPL-PTY,XPL,PTY,AF,C
XPL-PTY,XPL,PTY,CM,
XPL-PTY,XPL,PTY,IB,C
XPL-PTY,XPL,PTY,KL,C
YUL-PTY,YUL,PTY,CM,
YYZ-PTY,YYZ,PTY,AC,
YYZ-PTY,YYZ,PTY,CM,
